"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"6203","J6203","Computer facilities management services",4,"","620","","","","","",
"649212","K649212","Consumer credit granting services, other than by monetary institutions",6,"","64921","This subcategory includes: 
- personal non-mortgage instalment loan services other than by monetary institutions consisting of granting loans with scheduled repayment plans
- line-of-credit loan services, that is, loan services based on a commitment to le","","","","",
"649213","K649213","Residential mortgage credit granting services, other than by monetary institutions",6,"","64921","This subcategory includes:
- services of granting loans other than by monetary institutions for the purpose of acquiring residential land or buildings and for which the land or buildings are used as security
- home equity loans","","This subcategory excludes:
- appraisal services, see 68.31.16","","",
"649214","K649214","Non-residential mortgage credit granting services, other than by monetary institutions",6,"","64921","This subcategory includes:
- services of granting loans for the purpose of acquiring non-residential land or buildings and for which the land or buildings are used as security","","This subcategory excludes: 
- appraisal services, see 68.31.16","","",
"649215","K649215","Commercial non-mortgage credit granting services, other than by monetary institutions",6,"","64921","This subcategory includes: 
- loan services other than by monetary institutions to investment dealers and brokers, regulated financial institutions, federal, regional and local governments or school corporations, foreign governments, and other businesses","","","","",
"649216","K649216","Credit card services, other than by monetary institutions",6,"","64921","This subcategory includes:
- granting credit other than by monetary institutions when the holder of a credit card uses it to buy a good or a service, regardless of whether the balance is paid in full at the end of the grace period","","","","",
"649219","K649219","Other credit granting services, other than by monetary institutions, n.e.c.",6,"","64921","This subcategory includes: 
- other credit-granting services, other than by monetary institutions, n.e.c.
- sales financing services","","","","",
"6499","K6499","Other financial services, except insurance and pension funding, n.e.c.",4,"","649","","","This class excludes:
- insurance, reinsurance and pension funding services, see 65","","",
"64991","K64991","Other financial services, except insurance and pension funding, n.e.c.",5,"","6499","","","This category excludes:
- insurance, reinsurance and pension funding services, see 65","","",
"649911","K649911","Investment banking services",6,"","64991","This subcategory includes:
- securities underwriting services
- services of guaranteeing the sale of an issue of securities at a stated price by the issuing corporation or government and reselling it to investors
- engaging to sell as much of an issue of","","","","",
"649919","K649919","Financial services, except insurance and pension funding, n.e.c.",6,"","64991","This subcategory covers other financial intermediation services n.e.c., e.g. guarantee and commitment services, including those generating contingent liabilities, engaging to buy or sell securities or financial derivatives on own account from securities d","","This subcategory excludes:
- insurance, reinsurance and pension funding services, see 65","","",
"65","K65","Insurance, reinsurance and pension funding services, except compulsory social security",2,"","K","","","This division excludes:
- compulsory social security services, see division 84","","",
"651","K651","Insurance services",3,"","65","","","","","",
"6511","K6511","Life insurance services",4,"","651","","","","","",
"65111","K65111","Life insurance services",5,"","6511","","","","","",
"651110","K651110","Life insurance services",6,"","65111","This subcategory includes:
- underwriting services of insurance policies which provide for the payment of claims to beneficiaries contingent upon the death of the insured individual or upon survival to the maturity of the policy

Policies may provide pure","","","","",
"6512","K6512","Non-life insurance services",4,"","651","","","","","",
"65121","K65121","Accident and health insurance services",5,"","6512","","","","","",
"651211","K651211","Accident insurance services",6,"","65121","This subcategory includes:
- underwriting services of insurance policies which provide accidental death and dismemberment insurance, that is, payment in the event that an accident results in death or loss of one or more bodily members (such as hands or fe","","This subcategory excludes:
- travel insurance services, see 65.12.71","","",
"651212","K651212","Health insurance services",6,"","65121","This subcategory includes:
- underwriting services of insurance policies which provide protection for hospital and medical expenses not covered by government programs and, usually, other health-care expenses such as prescribed drugs, medical appliances, a","","","","",
"65122","K65122","Motor vehicle insurance services",5,"","6512","","","","","",
"651221","K651221","Motor vehicle insurance services, third party liability",6,"","65122","This subcategory includes:
- underwriting services of insurance policies which cover all liability arising out of the use of motor vehicles operating on land, including those used to transport paying passengers or freight","","This subcategory excludes:
- third party liability concerning railway rolling stock, see 65.12.31","","",
"651229","K651229","Other motor vehicle insurance services",6,"","65122","This subcategory includes:
- insurance services covering expenses arising from the loss of or damage to motor vehicles operating on land","","This subcategory excludes:
- insurance services covering expenses arising from the loss or damage to railway rolling stock, see 65.12.31","","",
"65123","K65123","Marine, aviation and other transport insurance services",5,"","6512","","","","","",
"651231","K651231","Railway rolling stock insurance services",6,"","65123","This subcategory includes:
- underwriting services of insurance policies which cover risks relating to the use of:
  . railway rolling stock

Risks covered include liability and loss of or damage to railway rolling stock.","","","","",
"651232","K651232","Aircraft liability insurance services",6,"","65123","This subcategory includes:
- underwriting services of insurance policies of third party liability which cover risks relating to the use of:
  . aircraft
- satellite launching liability insurance services","","","","",
"651233","K651233","Other aircraft insurance services",6,"","65123","This subcategory includes:
- underwriting services of insurance policies, other than for third part liability, which cover risks relating to the use of:
  . aircraft
- satellite launching insurance (except liability) services","","","","",
"651234","K651234","Ships liability insurance services",6,"","65123","This subcategory includes:
- underwriting services of insurance policies of third party liability which cover risks relating to the use of:
  . passenger and freight vessels, whether operating on oceans, coastal waterways or inland waterways","","","","",
