"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"A","A","Primera etapa de educación secundaria e inferior ","",1,"","","","","","","AYUDACOD_CNEDA14",""
"0","A0","Menos que primaria","",2,"A","","","","","","AYUDACOD_CNEDA14",""
"AA","A0AA","Menos que primaria","",3,"0","","","","","","AYUDACOD_CNEDA14",""
"01","A0AA01","Analfabetos","",4,"AA","Este grupo se aplica a las personas analfabetas. Se considera analfabetas a las personas de 16 y más años que teniendo en cuenta cualquier lengua del mundo cumplen:

- 	no son capaces de leer ni de escribir;
- 	son capaces de leer pero no de escribir;
- 	son capaces de leer y escribir sólo una o varias frases que recuerdan de memoria;
- 	son capaces de leer y escribir sólo números o su propio nombre.

En este grupo se clasifican:

-	Analfabetos","","","SI","","AYUDACOD_CNEDA14",""
"02","A0AA02","Estudios primarios incompletos","",4,"AA","Este grupo se aplica a las personas que saben leer y escribir, y han asistido a la escuela (en la educación inicial o de adultos) menos de 5 años, sin tener en cuenta los posibles años pasados en la educación infantil.

En este grupo se clasifican:

-	las personas que saben leer y escribir y han asistido menos de 5 años a la escuela.","","","SI","","AYUDACOD_CNEDA14",""
"1","A1","Educación primaria","",2,"A","","","","","","AYUDACOD_CNEDA14",""
"AB","A1AB","Educación primaria","",3,"1","","","","","","AYUDACOD_CNEDA14",""
"10","A1AB10","Educación primaria ","",4,"AB","Este grupo se corresponde con la Educación Primaria, etapa del sistema educativo que no proporciona un título al finalizarse. A falta de certificación de referencia se clasificarán en este grupo las personas que: han cursado la Educación Primaria, o han cursado las enseñanzas iniciales de educación básica para adultos o programas equivalentes a la Educación Primaria o, por lo menos, han asistido 5 años a la escuela (en la educación inicial o equivalente en educación de adultos); y no cumplen los requisitos para ser clasificados en un nivel superior.

En este grupo se clasifican las personas que como máximo:

-	han cursado la educación primaria (completa); o
-	han completado las enseñanzas iniciales de educación básica para adultos o programas equivalentes a la educación primaria; o
-	han asistido a la escuela 5 o más años y no pueden clasificarse en otro epígrafe; o
-	han estado matriculados en Educación Secundaria Obligatoria y no pueden ser clasificados en el nivel 2.","En este grupo no se clasifican las personas que poseen:
- 	el Certificado de Escolaridad (ver 21); o
- 	el Certificado de Estudios Primarios (ver 22).","","SI","","AYUDACOD_CNEDA14",""
"2","A2","Primera etapa de educación secundaria y similar","",2,"A","","","","","","AYUDACOD_CNEDA14",""
"AC","A2AC","Primera etapa de educación secundaria y similar, con orientación general","",3,"2","","","","","","AYUDACOD_CNEDA14",""
"21","A2AC21","Primera etapa de educación secundaria sin título de graduado en ESO y similar","",4,"AC","Este grupo se corresponde con el primer ciclo de Educación Secundaria Obligatoria (LOMCE) (1º-3º), el cual no conduce a una certificación o título en su finalización y que representa una duración acumulada de 9 años desde el inicio de la CINE 1. Se clasificarán en este grupo aquellas personas que han cursado 3º de la ESO totalmente (o los 9 primeros cursos de educación primaria y secundaria) y que no hayan alcanzado el título de Graduado en ESO o equivalente, u otra titulación o certificación del resto de grupos de este nivel (ver certificaciones en grupos 22, 23 y 24) o superior.

Se considera cursado el 3er curso de la ESO e totalmente si se ha participado en todos los componentes del curso , con independencia de los resultados obtenidos (es decir habiendo superado/aprobado o no el curso).

Se clasifican en este grupo certificados y situaciones relativas a programas extinguidos que tienen reconocida algún tipo de equivalencia con títulos de primera etapa de educación secundaria.

En este grupo se clasifican las personas que como máximo:

-	han cursado el 3er curso (primer ciclo), todo el curso (aprobado o no), o superior de Educación Secundaria Obligatoria pero no han obtenido el título de Graduado en ESO; o
-	han cursado la Educación Secundaria de Adultos completamente o el equivalente a 3º de la ESO, pero no disponen de certificaciones o títulos de educación secundaria de primera etapa; o
-	han cursado los 9 primeros cursos académicos de educación primaria y secundaria, sin certificaciones o títulos de educación secundaria de primera etapa; o
-	tienen un Certificado de Escolaridad anterior a la LOGSE (certificados de la EGB o anteriores a 1999); o
-	han cursado la EGB completa (8º curso), sin título de Graduado Escolar; o
-	han cursado el Bachillerato Elemental (4º curso), sin superar; o
-	han completado programas de formación para la transición a la vida adulta de la Educación Especial específica; o
-	han asistido a la escuela al menos 9 años (solo si no puede determinarse los años académicos cursados ni las certificaciones, por ejemplo en algunos casos de extranjeros, personas de edad avanzada,...etc).","","","SI","","AYUDACOD_CNEDA14",""
"22","A2AC22","Primera etapa de educación secundaria con título de graduado en ESO y equivalentes","",4,"AC","En este grupo se clasifican los títulos que acreditan la superación de programas de 8 o más cursos educación básica (primaria y secundaria) y sus equivalentes, y que no pueden clasificarse en un nivel superior. Puede incluir certificaciones y títulos correspondientes a programas de nivel 3 de la CNED-P insuficientes para consolidar el nivel (por ejemplo el título de Graduado en ESO).

En este grupo se clasifican las siguientes titulaciones y certificaciones, y formación equivalentes:

-	Título de Graduado en ESO a través de Educación Secundaria Obligatoria.
-	Título de Graduado en ESO a través de un Programa de Cualificación Profesional Inicial, PCPI (superados los módulos voluntarios).
-	Título de Graduado en ESO a través de Educación Secundaria para Adultos.
-	Título de Graduado en ESO a través de Pruebas libres.
-	Título de Graduado Escolar / EGB completa.
-	Título de Bachiller Elemental / Bachiller Elemental completo (general, laboral o técnico).
-	Certificado de Estudios Primarios (anterior al curso 1975-1976).
-	Certificado de superación de la prueba de acceso a un CFGM de FP.
-	Certificado de superación de la prueba de acceso a un CFGM de Artes Plásticas y Diseño.
-	Certificado de superación de la prueba de acceso a las Enseñanzas Deportivas de Grado Medio.

En este grupo no se clasifican las personas que poseen:
-	Título de Graduado en ESO a a partir de la Formación Profesional Básica (ver 38).","En este grupo no se clasifican las personas que poseen:
-	Título de Graduado en ESO a a partir de la Formación Profesional Básica (ver 38).","","SI","","AYUDACOD_CNEDA14",""
"AD","A2AD","Primera etapa de educación secundaria y similar, con orientación profesional","",3,"2","","","","","","AYUDACOD_CNEDA14",""
"23","A2AD23","Certificados de profesionalidad de nivel 1 y similares","",4,"AD","En este grupo se clasifican las siguientes certificaciones y formación similar:

-	Certificado de Profesionalidad del nivel 1 (CdPN1).
-	Programa de Cualificación Profesional Inicial, PCPI (superados solo los módulos obligatorios).
-	Programas de Garantía Social.","","","SI","","AYUDACOD_CNEDA14",""
"24","A2AD24","Certificados de profesionalidad de nivel 2 y similares","",4,"AD","En este grupo se clasifican las siguientes certificaciones y formación similar:

-	Certificado de Profesionalidad del nivel 2 (CdPN2).","","","SI","","AYUDACOD_CNEDA14",""
"B","B","Segunda etapa de educación secundaria y educación postsecundaria no superior","",1,"","","","","","","AYUDACOD_CNEDA14",""
"3","B3","Segunda etapa de educación secundaria y similar","",2,"B","","","","","","AYUDACOD_CNEDA14",""
"BE","B3BE","Segunda etapa de educación secundaria, con orientación general","",3,"3","","","","","","AYUDACOD_CNEDA14",""
"32","B3BE32","Bachillerato y similares","",4,"BE","En este grupo se clasifican los siguientes títulos o certificaciones y formación similar:

-	Título de Bachiller.
-	Título de Bachiller a través de pruebas libres.
-	Título de Bachiller/ Bachillerato Unificado Polivalente (BUP).
-	Curso de Orientación Universitaria (COU), aprobado.
-	Título de Bachiller/Bachiller REM o experimental.
-	Título de Bachiller Superior/ Bachiller superior.
-	Curso Preuniversitario, aprobado.
-	Certificado de superación de la prueba acceso a la Universidad Mayores de 25 años.
-	Certificado de superación de la prueba de acceso a un CFGS de FP.
-	Certificado de superación de la prueba de acceso a un CFGS de Artes Plásticas y Diseño.
-	Certificado de superación de la prueba de acceso a las Enseñanzas Deportivas de Grado Superior.","En este grupo no se clasifican:
- 	Certificado de superación de la prueba acceso a la Universidad de mayores de 45 años (este certificado no otorga nivel de formación).","","SI","","AYUDACOD_CNEDA14",""
"BF","B3BF","Segunda etapa de educación secundaria, con orientación profesional (y continuidad en la educación superior)","",3,"3","","","","","","AYUDACOD_CNEDA14",""
"33","B3BF33","Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado medio y similares","",4,"BF","En este grupo se clasifican los siguientes títulos o certificaciones y formación similar o equivalente:

-	Título de Técnico / Ciclos Formativos de Grado Medio (CFGM) de FP.
-	Título de Técnico de artes plásticas y diseño / Ciclos Formativos de Grado Medio (CFGM) de Artes Plásticas y Diseño (ApyD).
-	Título de Técnico deportivo / Enseñanzas deportivas de grado medio.
-	Título de Técnico Auxiliar / Formación Profesional de primer grado, FP1.
-	Oficialía Industrial, con título.
-	Artes Aplicadas y Oficios Artísticos - 3 cursos comunes.
-	Título de Técnico Auxiliar / Módulos Experimentales de nivel II de FP.
-	Título de Técnico Militar.
-	Policía Nacional / Escala Básica del Cuerpo Nacional de Policía.
-	Escala Básica del Cuerpo de Mozos de Escuadra.
-	Escala Básica de la Ertzaintza.
-	Cuerpos de la Policía Local de la Comunidad Autónoma del País Vasco.
-	Cuerpos de la policía local de la Comunidad Autónoma de Navarra.
-	Cuerpos de la policía local de la Generalitat de Cataluña.
-	Escala Básica de la Guardia Civil.
-	Capataz Agrícola.
-	Otras titulaciones que sean equivalentes a enseñanzas de grado medio de formación profesional del sistema educativo.","","","SI","","AYUDACOD_CNEDA14",""
"34","B3BG34","Enseñanzas profesionales de música y danza y similares","",4,"BG","En este grupo se clasifican los siguientes títulos o certificaciones y formación similar:

-	Título Profesional de Música/Enseñanzas Profesionales de Música (LOE)
-	Título Profesional de Danza/Enseñanzas Profesionales de Danza (LOE)
-	Título Profesional de Música/Enseñanzas de Grado Medio de Música (LOGSE)
-	Título Profesional de Danza/Enseñanzas de Grado Medio de Danza (LOGSE)
-	Título de Profesor de Música (Decreto 2618/1966)
-	Diploma de Cantante de Ópera (Decreto 313/1970)","","","SI","","AYUDACOD_CNEDA14",""
